Test,TestFactor,CovariateFactors,Strain,Sex,PValue
Mean lifespan (lmer),Diet,Strain and Sex,All,All,0.0022639480584273
Mean lifespan (lmer),Diet,Strain,All,Female,0.5215363614408856
Mean lifespan (lmer),Diet,Strain,All,Male,1.9418523559746996e-4
Mean lifespan (lm),Diet,Strain and Sex,All,All,0.002240583009414002
Mean lifespan (lm),Diet,Strain,All,Female,0.5180849477857525
Mean lifespan (lm),Diet,Strain,All,Male,1.89722715999769e-4
Median lifespan,Diet,Strain and Sex,All,All,0.007532177119723497
Median lifespan,Diet,Strain,All,Female,0.6117219679423401
Median lifespan,Diet,Strain,All,Male,0.0014343083195065527
Maximum lifespan,Diet,Strain and Sex,All,All,0.012771611753323343
Maximum lifespan,Diet,Strain,All,Female,0.6169369737222359
Maximum lifespan,Diet,Strain,All,Male,0.004052486454083829
Mean lifespan (lm),Diet,Sex,CC003/UncJ,All,0.8088247196727979
Mean lifespan (lm),Diet,NA,CC003/UncJ,Female,0.7541369446824522
Mean lifespan (lm),Diet,NA,CC003/UncJ,Male,0.9915403639125593
Median lifespan,Diet,Sex,CC003/UncJ,All,0.04079605371296721
Median lifespan,Diet,NA,CC003/UncJ,Female,0.008555733229525362
Median lifespan,Diet,NA,CC003/UncJ,Male,1.0000000000000002
Maximum lifespan,Diet,Sex,CC003/UncJ,All,0.7114658060442355
Maximum lifespan,Diet,NA,CC003/UncJ,Female,1
Maximum lifespan,Diet,NA,CC003/UncJ,Male,0.604989604989605
Mean lifespan (lm),Diet,Sex,CC004/TauUncJ,All,0.05306334405907596
Mean lifespan (lm),Diet,NA,CC004/TauUncJ,Female,0.9670248444770445
Mean lifespan (lm),Diet,NA,CC004/TauUncJ,Male,0.009723814262549806
Median lifespan,Diet,Sex,CC004/TauUncJ,All,0.25726422447361774
Median lifespan,Diet,NA,CC004/TauUncJ,Female,0.752371134563909
Median lifespan,Diet,NA,CC004/TauUncJ,Male,0.02170979977238146
